,title,description,published_at,url
0,"Surge pricing, the scourge of ridehailing, is evolving for the robotaxi era","Itâs a familiar frustration for ridehail users: you open the Uber or Lyft app, enter your destination, and discover that your intended trip costs several times more than expected. The culprit is surge pricing, one of ridehailâs most important and controve…",2025-04-18T20:49:15Z,https://www.theverge.com/autonomous-cars/652010/robotaxi-surge-pricing-waymo-uber-price-demand
1,Uber users can now earn miles with Delta Air Lines,"Delta SkyMiles members can now link their accounts to Uber, earning miles for money spent on rides and food delivery, the companies announced today. The news kicks off a partnership between Uber and Delta Air Lines that was first announced earlier this year. …",2025-04-21T18:36:53Z,https://www.theverge.com/news/652755/uber-delta-sky-miles-earn-trips-eats
2,Uber strikes deal with May Mobility to deploy ‘thousands’ of robotaxis,"May Mobility is the latest autonomous vehicle operator to team up with Uber to get more passengers into its robotaxis. The Ann Arbor, Michigan-based company, which has mainly focused on long-term transportation contracts, says it will deploy “thousands” of au…",2025-05-01T16:26:22Z,https://www.theverge.com/news/659563/uber-may-mobility-autonomous-ridehail-partnership
3,Aurora’s driverless trucks are making deliveries in Texas,"After years of testing and validation, Aurora says its first fully autonomous tractor-trailers are operating on public highways in Texas. The company’s Class 8 trucks are now making customer deliveries between Dallas and Houston, having already completed 1,20…",2025-05-01T20:19:51Z,https://www.theverge.com/news/659518/aurora-autonomous-truck-first-delivery-texas
4,Perplexity’s AI voice assistant is now available on iOS,"Perplexity’s iOS App just got an update enabling support for the company’s conversational AI voice assistant. Now Apple users can activate the assistant in the app and ask it to perform tasks like writing emails, setting reminders, and making dinner reservati…",2025-04-23T23:11:55Z,https://www.theverge.com/news/654946/perplexity-ai-mobile-assistant-ios-iphone
5,This ICE-snitching app is actually promoting a meme coin,"Right-wing influencers are shilling an app that purportedly lets people earn crypto for reporting sightings of undocumented immigrants. ICERAID, a âGovFi protocol that delegates intelligence gathering tasks to citizens,â has recently been promoted by the …",2025-04-16T20:21:30Z,https://www.theverge.com/tech/650015/iceraid-app-immigrant-bounty-hunting-crypto
6,Fired FTC commissioners on fighting for their jobs back,"Today, we have something special for you: A few days ago, I hosted a panel with FTC commissioners Rebecca Slaughter and Alvaro Bedoya at the IAPP Global Privacy Summit in Washington, DC. We recorded the discussion, and we’re bringing it to you today. That’s a…",2025-04-28T14:00:17Z,https://www.theverge.com/decoder-podcast-with-nilay-patel/657115/ftc-bedoya-slaughter-trump-fired-supreme-court-interview
7,UiPath’s Daniel Dines on why he needed to become CEO again,"Today, I’m talking with Daniel Dines, the cofounder and, once again, the CEO of UiPath, a software company that specializes in something called robotic process automation (RPA). We’ve been featuring a lot of what I like to call full-circle Decoder guests on t…",2025-04-07T13:59:04Z,https://www.theverge.com/decoder-podcast-with-nilay-patel/643562/uipath-ceo-daniel-dines-interview-ai-agents-rpa
8,White House Embarrassingly Holds ‘Press Briefing’ Full of MAGA Influencers,The Trump administration's slide towards state-sponsored media continues.,2025-04-30T12:25:11Z,https://gizmodo.com/white-house-embarrassingly-holds-press-briefing-full-of-maga-influencers-2000596111
9,Motorola’s New Razr Flip Phones Cram in AI from Nearly Everyone Except OpenAI,"Moto AI on the Razr, Razr+, and Razr Ultra is basically like the Avengers.",2025-04-24T16:00:55Z,https://gizmodo.com/motorolas-new-razr-flip-phones-cram-in-ai-from-nearly-everyone-except-openai-2000593499
